COUNTRY,REGION / AREA,PRODUCER,NAME,COLOUR,TYPE,ID
France,Alsace,Chapoutier,Riesling Schieferkopf Lieu Dit Buehl,White,Still,1000001
France,Alsace,Chapoutier,Riesling Schieferkopf Kastelberg,White,Still,1000014
France,Alsace,Chapoutier,Pinot Gris Schieferkopf,White,Still,1000027
France,Alsace,Chapoutier,Riesling Schieferkopf,White,Still,1000030
France,Alsace,Chapoutier,Sylvaner Schieferkopf,White,Still,1000043
France,Alsace,Chapoutier,Riesling Weibelsberg,White,Still,1000056
France,Alsace,Hugel,Riesling Jubilee,White,Still,1000069
France,Alsace,Hugel,Riesling SGN,White,Still,1000072
France,Alsace,Hugel,Riesling VT,White,Still,1000085
France,Alsace,Hugel,Tokay Pinot Gris Jubilee,White,Still,1000098
France,Alsace / Wintzenheim,Josmeyer,Riesling Hengst,White,Still,1000102
France,Alsace / Kessler,Schlumberger,Gewurztraminer Kessler,White,Still,1000115
France,Alsace / Sonnenglanz,Trapet,Gewurztraminer Sonnenglanz,White,Still,1000128
France,Alsace / Hunawihr,Trimbach,Clos St Hune,White,Still,1000131
France,Alsace,Trimbach,Gewurtzraminer Classic,White,Still,1000144
France,Alsace,Trimbach,Gewurtzraminer Reserve,White,Still,1000157
France,Alsace,Trimbach,Gewurztraminer Ribeaupierres,White,Still,1000160
France,Alsace,Trimbach,Gewurztraminer SGN,White,Still,1000173
France,Alsace,Trimbach,Gewurztraminer VT,White,Still,1000186
France,Alsace,Trimbach,Muscat Reserve,White,Still,1000199
France,Alsace,Trimbach,Pinot Blanc Classic,White,Still,1000203
France,Alsace,Trimbach,Pinot Gris Hommage Jeanne,White,Still,1000216
France,Alsace,Trimbach,Pinot Gris Reserve,White,Still,1000229
France,Alsace,Trimbach,Pinot Gris Reserve Personnelle,White,Still,1000232
France,Alsace,Trimbach,Pinot Gris SGN,White,Still,1000245
France,Alsace,Trimbach,Pinot Noir Reserve,White,Still,1000258
France,Alsace,Trimbach,Pinot Noir Reserve Cuve 7,White,Still,1000261
France,Alsace,Trimbach,Riesling Classic,White,Still,1000274
France,Alsace,Trimbach,Riesling Frederic Emile,White,Still,1000287
France,Alsace,Trimbach,Riesling Reserve,White,Still,1000290
France,Alsace,Trimbach,Sylvaner Classic,White,Still,1000304
France,Alsace / Hunawihr,Zind Humbrecht,Pinot Gris Clos Winsbuhl,White,Still,1000317
France,Alsace / Hunawihr,Zind Humbrecht,Pinot Gris Clos Winsbuhl VT,White,Still,1000320
France,Alsace,Zind Humbrecht,Gewurztraminer,White,Still,1000333
France,Alsace / Gueberschwihr,Zind Humbrecht,Gewurztraminer Goldert VT,White,Still,1000346
France,Alsace / Wintzenheim,Zind Humbrecht,Riesling Hauserer,White,Still,1000359
France,Alsace / Turckheim,Zind Humbrecht,Pinot Gris Heimbourg,White,Still,1000362
France,Alsace / Turckheim,Zind Humbrecht,Pinot Gris Heimbourg VT,White,Still,1000375
France,Alsace / Turckheim,Zind Humbrecht,Riesling Heimbourg,White,Still,1000388
France,Alsace / Wintzenheim,Zind Humbrecht,Gewurztraminer Hengst,White,Still,1000391
France,Alsace / Wintzenheim,Zind Humbrecht,Gewurztraminer Hengst SGN,White,Still,1000405
France,Alsace / Turckheim,Zind Humbrecht,Pinot Gris Clos Jebsal SGN,White,Still,1000418
France,Alsace / Turckheim,Zind Humbrecht,Pinot Gris Clos Jebsal  VT,White,Still,1000421
